start	end	text
0	1000	开始录音
30000	31000	没有 它这个太宽了
31000	32000	那你就卖掉
32000	33000	什么意思
33000	34000	它又卖了
34000	36000	那你每个圈里面你特殊情况
36000	38000	没有 它就没有那么宽
38000	39000	对对对 知道了 知道了
39000	40000	这个好
40000	41000	我买了试的
41000	43000	没有 买了谁家的也抢了
43000	44000	你这圈子我看过
45000	47000	那凭什么我说这圈子没啥错你知道吗
48000	49000	这圈子我就觉得
49000	50000	没谁弄一遍 没谁弄一遍
50000	51000	那看有的时候弄错
51000	52000	但
52000	54000	你觉得 你看你觉得
54000	55000	啥
55000	56000	剪个66的
56000	57000	应该上号没
58000	59000	你挑挑
59000	60000	打好吗
61000	62000	打好吗
63000	65000	你先把这个金焦的东西拿下来
67000	68000	好 偏一下
71000	72000	这个28不是
72000	73000	挺好
73000	74000	挺好
75000	76000	挺好
77000	78000	28挺好
78000	80000	28你来给我开个
81000	82000	挺好
83000	84000	挺好
84000	86000	这个28再放这来点
86000	87000	挺好
89000	90000	不说话
91000	92000	不说话
97000	98000	吃饱
102000	103000	那肯定要加热
103000	104000	就这一个颜色
104000	105000	你以后再不让他加热
105000	106000	肯定不合适
112000	113000	老板也没弄
114000	115000	刚才还没弄
116000	117000	现在
117000	118000	上了电
118000	119000	它就发热了
119000	120000	它得烤
129000	130000	对
140000	141000	等我这运一会儿
144000	145000	这个运一会儿
146000	147000	就这吧
150000	151000	这别的都拿架子锅底摆着
160000	161000	你后边
164000	165000	后边这前头对吗
166000	167000	前头对
167000	168000	这前头不对
168000	169000	这不对
169000	170000	它那个
170000	171000	黄产
171000	172000	七十万呀
172000	174000	摆着就是黄产七十万钱
174000	175000	七十万
188000	189000	对呀
189000	190000	那就是错了
190000	191000	所以说你看说
191000	192000	你得让一个一个看它
193000	194000	要不然
194000	195000	你得让他试试
195000	196000	还是有点好的
196000	197000	对呀
197000	198000	那你以为他就是没动过
198000	199000	咱觉得咱不会错
199000	200000	这个颜色应该
200000	201000	最适当的
202000	203000	我知道你上次不发
203000	204000	那扣子都没有了
205000	206000	那扣子可以正常摆着卖
206000	207000	对你好
207000	208000	我就是说
208000	209000	我知道
209000	210000	你就摆着卖的话
210000	211000	我知道还有一个雪宝
211000	212000	那个也没有了
212000	213000	对对对
213000	214000	你给我说
214000	215000	我知道
215000	216000	没有就没有去了
216000	217000	赶紧买
217000	218000	那说了赶紧买
218000	219000	我赶紧付了
219000	220000	我说扣子不用付了
220000	221000	我说你赶紧叫上买
221000	222000	他说买
222000	223000	我说你摆着卖
223000	224000	他说买
224000	225000	我说你摆着卖
225000	226000	我说你摆着卖
226000	227000	我说你摆着卖
227000	228000	我说你摆着卖
228000	229000	我说你摆着卖
229000	230000	我说你摆着卖
230000	231000	我说你摆着卖
232000	234000	看着也需要在村里
234000	235000	最起码在这
235000	237000	你这不能挤着羊排
237000	239000	你要不把这个黄豆落
239000	240000	要不你弄着
241000	242000	弄着吧
242000	243000	我把这放着
243000	244000	谢谢
244000	245000	好看
245000	247000	你也放着我挺着吧
248000	249000	我昨天干这个活了
249000	250000	我说我说这样子
250000	252000	我说应该是羊送回来
252000	253000	我这三年
253000	255000	我说我这活是给你羊送的
255000	256000	对啊
256000	257000	你快给我拿着吧
257000	258000	他说这不算货了
258000	259000	我买了这些羊
259000	260000	我买了这些黄豆
260000	261000	这么多黄豆
261000	262000	没法说
262000	264000	昨天我说咱们到位时
264000	265000	咱们也没看
265000	266000	真该到位
266000	267000	大姐
267000	268000	你拿个抹布
268000	269000	拿个抹布
269000	270000	把玻璃架子擦一下
270000	271000	不用不用不用
271000	272000	别的都擦了
280000	281000	你那个没有衣服
281000	282000	我说的吧
282000	283000	几点了人家
283000	284000	四点半
284000	285000	四点半
285000	286000	十一点怎么办
286000	287000	十一点半
287000	288000	四点三十七
288000	289000	不用你那
289000	290000	好了我让他把这个擦
290000	292000	我擦擦擦擦
293000	294000	先放着我把这个弄了
294000	295000	先把这个弄了
299000	300000	大姐
300000	301000	来
301000	302000	拿个抹布过来
302000	303000	我擦一下再来
303000	304000	拿着
304000	305000	拿抹布去吧
305000	307000	昨天你跟我聊天呢
309000	310000	我突然就想起
310000	311000	那天卖的那个
311000	312000	你跟我说的那个串
312000	313000	咋了又
314000	315000	给我
315000	316000	抹布
316000	317000	我就突然想起
317000	318000	那天说的那个事
319000	320000	新设的那个
322000	323000	新设那个谁
325000	326000	你说他对象
326000	327000	那时候看上他了
327000	328000	咋着咋着的那个
331000	332000	好就行了
332000	333000	你是摆清酒摆啥
333000	334000	你有啥
334000	335000	鸡牛肉是没有吗
335000	336000	没了就这些了
336000	337000	都领出来了
337000	338000	鸡牛肉是没有吗
338000	339000	三鸡
339000	340000	太啥了
340000	341000	鸡牛肉中间有一条是叠的
341000	342000	哪里哪里
342000	343000	这这这这
343000	344000	还有总开预演
344000	345000	我觉得有一条
345000	346000	应该是有一条
346000	347000	总开预演还有吗
347000	348000	最底下最底下
348000	349000	那个是不
349000	350000	最底下最底下
351000	352000	宗旨宗旨
352000	353000	最底下
354000	355000	哪几年
355000	356000	这不是
356000	357000	还有吗
357000	358000	没有没有没有
358000	359000	哪长得高
359000	360000	哪长得高
360000	362000	这不是猖狗娘女
362000	363000	猖狗娘女
364000	365000	你不是我觉得
365000	366000	这片子不是不让摆吗
366000	367000	总开预演吗
367000	368000	还有吗
368000	369000	给电话呀
369000	370000	老板
370000	371000	这不新的
371000	372000	喂
372000	373000	丽丽
373000	374000	喂
375000	376000	你说
378000	379000	没有了
379000	380000	我在片上放了
380000	381000	没有了
381000	382000	后台给你去了
382000	383000	你买的
383000	384000	你有摆着吗
384000	385000	没有了
385000	386000	对
386000	387000	你缺的你可能没看
387000	389000	那些批判都推迟了
389000	390000	有好多批判都推迟了
390000	391000	就是推迟了
391000	393000	批判在后台给你找了
394000	395000	对对对
395000	396000	你该摆的摆
396000	397000	该摆的摆
397000	398000	烤个肉这个不算肉
399000	400000	没有没有
400000	401000	那些系统里面
401000	402000	该摆的摆
402000	403000	那这个运动的系统里面
403000	404000	该给你清楚了
404000	405000	好嘞好嘞
409000	410000	让我弄弄
410000	411000	好嘞
411000	412000	走走走
412000	413000	还有吗
413000	414000	没有了
415000	416000	我说总开预演
416000	417000	摆这个
417000	418000	没有总开预演是吧
418000	419000	走啊
421000	423000	你本人预演的
426000	427000	哎呀
427000	428000	一不小心定的
428000	430000	一不小心定的
430000	431000	不知道是为了啥
431000	432000	咱们没有一会就定了
432000	433800	他就不知道啥时候捡回来
436200	437400	这个盐还真不够
447800	448800	那清酒不应该
449100	449600	清酒
451200	452200	还有一杯饮料
454800	455800	这个不是不好的盐
458000	458800	感觉是不好的
459200	460000	你光烫着吧
460000	461400	你拿衣服拿手去弄
461600	462800	这个是热门不
463200	464000	这个是
464800	465600	人家能买这么多盒
465600	466400	咱们定了
466800	467400	我定了
467800	468800	明天拿钱就卖了
470200	471000	就这点盐
472600	473400	就这点盐
473400	475400	我这就这冰盒加这点盐
476400	477600	那家伙就有口袋
489000	489800	我跟着
492400	492800	好
509200	509800	谁打的
514600	515200	这小孩
519000	519800	我来自己干
521600	522200	游戏选手
523600	524400	游戏选手
526400	527000	这么多
528400	529000	这么多盐
529400	529800	盐
530000	530400	盐
531400	531800	盐
533000	533800	这个也不准备
543000	543600	这个嫩
544200	544800	这个厚
546800	548000	这个太厚了
551400	552800	香
612240	613400	要求不高就摆这儿
616040	617360	对 为了那个喝的方式
617720	618680	为了那个放喝的方式
618680	619480	有人喝嘛
619480	621040	对对对 放喝啥的
621040	621960	对 为了这个会场
621960	623240	要不摆那边 听个话
642400	643400	有时候呢
643400	644200	就会在这两个房间
644200	645400	把毛纳入在里面
645400	647000	人家把这毛扫进去了
647000	648000	我怕被人家气死
656000	657000	哎呀 气死人了
657000	658000	起来摆了
658000	659000	啥 气死人了
660000	661000	气死人了
662000	663000	摆了
663000	664000	气死人了
665000	666000	坐那
667000	668000	坐那
669000	670000	完了完了 别吵了
670000	671000	我现在
671600	672600	坐那
682600	683600	坐那
694600	694840	现在要摆
694840	695840	好了
696840	697840	好 滚
698840	700280	我现在在前面
700280	702280	我买了一片森林
702280	704280	不过我建议
704280	706280	我现在绝对是最快轮植一个大甲鱼
706280	708280	这个人啊
708280	710280	想怎么生活就怎么生活
710280	712280	对呀
712280	714280	没事到我明天活到这个年龄
714280	716280	他都没有活出来
716280	718280	这个人生到底是啥
718280	720280	我四处去也不玩
720280	722280	都已经买活狗了
722280	724280	他外甥给他女朋友来
724280	726280	跑走了他俩
726280	728280	现在他外甥他就毕业了
728280	730280	他媳妇要早一点
730280	732280	他想看我的博士
732280	734280	他晚上有空
734280	736280	他现在晚上才能毕业
736280	738280	他现在毕业了
738280	740280	一天三天的
740280	742280	他都在家里休息
742280	744280	他都在家里休息
744280	746280	他都在家里
746280	748280	人家小女孩都哭了
748280	750280	人家小女孩都哭了
750280	752280	他打电话
752280	754280	他打电话
754280	756280	他打电话
756280	758280	是你让他找个座位
758280	760280	谢谢啊
780280	782280	我看你有苦痛也对我
786280	788280	我看你
788280	790280	我看你
790280	792280	什么都不说
798280	800280	你干啥呢
800280	802280	你干啥呢
802280	804280	你干啥
804280	806280	你干啥
806280	808280	你干啥
808280	810280	你干啥
810280	812280	你干啥
812280	814280	你干啥
814280	815280	你这都没吃呢
815280	816280	哎 这手机会不会热啊
816280	817280	有点热
819280	820280	苦菜都对
827280	828280	苦菜也都对
830280	831280	这个太阳太晒
831280	832280	让我白白等有了烟再放
833280	834280	一会儿再取个茉莉香
834280	835280	有点喝的别再扔了
835280	837280	然后白白喝的都留着
837280	838280	对 还有这种
838280	839280	要喝的都留着
839280	841280	留着都在外面看你
