start	end	text
0	1280	开始录音
30000	40000	这玩意儿咋不放烟呢
40000	43000	咱考虑考虑你懂不懂
43000	48000	这玩意儿这一拍
48000	49000	给这玩意儿这一拍
49000	50000	弄到这玩意儿来正好
50000	58000	你哪个现场演的多
58000	60000	这三个柜台里边都有烟
60000	61000	你再给他控制一会儿
61000	64000	你得给他打电话
64000	66000	我觉得你演的不错
66000	81000	一会儿给他打个电话
81000	84000	你看有时候我放脏了
84000	94000	你这个是什么时候订的呀 上一回啊 这一期还订了一个了
94000	103000	这个样子是卖的不够的 我们还欠啊 我买的不够
103000	107000	我买的不够你也欠下了 冰箱里面没有
107000	112000	没有 你是没有在用一下
130000	133000	喂 俞亮
133000	137000	我这次一会儿上他家去,我跟他说
139000	141000	我交给他去
141000	143000	走
143000	145000	我一会儿过去
151000	153000	你专业文化读过吗?
153000	155000	我没有
155000	157000	我没订读过
157000	159000	他订读过了,弟弟
159000	161000	我专业文化读过
161000	163000	他订读过了
163000	165000	他订读过了
165000	167000	订读过了
167000	171000	那说明他一会儿来这都没有偷放过
171000	173000	我还不知道,反正还是没有
173000	175000	呀,这个多
175000	177000	我调下来这些
177000	179000	这些都说明了
179000	181000	怎么能说那些
183000	187000	这车都停不了了,还说呢
187000	189000	哎呀,那不是这种人的车
189000	191000	这都是大姐的车
191000	193000	这都是大姐的车
193000	195000	大姐的车
197000	201000	你的地下快递,快递有二十多条了
203000	205000	你看
205000	207000	差不多
207000	209000	你感冒了
209000	213000	我一看你这个视频就知道你感冒了
213000	215000	那不是来买东西的
215000	217000	那不是来买东西的
217000	219000	你买东西啊,买食材啊
219000	221000	买食材,我地下还遇到这个,你家不是啊
221000	223000	嗯,是
223000	225000	我这都打开了
225000	227000	这是,这是,这是令鹤的
227000	229000	这是,这是
229000	231000	孔鹤
231000	233000	你孔鹤你为啥不摆在这里边啊
233000	235000	因为我有退化
235000	237000	不摆在这儿不择摇
239000	241000	每个这个库存里面没有流氧吗
241000	243000	每个这个库存里面没有流氧吗
243000	245000	没有不退了,退了
245000	247000	我摆这儿喝
257000	259000	你回来
259000	261000	你来个事吧,你回来把这两个弄那边去
261000	263000	把那个撤了
263000	265000	我看见我都没法,我强迫症
265000	267000	我看见我都没法,我强迫症
267000	269000	他要求的就是二加根
269000	271000	这两个啊,把这个一去
271000	273000	正好复个额就是摆在那边
273000	275000	那个,那个,你看孔鹿都难看
275000	277000	那个
277000	279000	孔大爷啊,这一跳进去我都坐地上了
279000	281000	你看都是这样的
281000	283000	快点把他弄过来吧
283000	285000	弄过来
285000	287000	我快点把照片给你发过来
287000	289000	把里边照片给你交换过来
295000	297000	这上面这两个
297000	299000	放在那边去
301000	303000	这上面那两层放在那边去
303000	305000	但现在是,要求的就是二加根
305000	307000	一个模式
307000	309000	你这个规态又是标准规态
309000	311000	你算算
311000	313000	你给这个
313000	315000	给那个叫大爷
315000	317000	摆上点这个成圈圆圆
317000	319000	哪儿摆成圈圆圆
319000	321000	摆成圈圆圆
321000	323000	横着摆都行
323000	325000	对对对
325000	327000	把这个放这边去
327000	329000	对
329000	331000	这运气,这定来这些年,这运气能卖忘了吗
331000	333000	卖不忘
333000	335000	卖不忘了
335000	337000	快,卖了快了,不能卖
337000	339000	对
339000	341000	那光给你选个妹呢,确实呢
347000	349000	那你看,刚开始干了新店
349000	351000	谁能躲,谁能躲
351000	353000	你给他说说
353000	355000	那给你办一个吧
361000	363000	你说你这个太厂的品种和规格还真不熟嘞
365000	367000	这里头放的吧
367000	369000	那样有时候摆五六个
369000	371000	四五个规格
371000	373000	太厂你得占多半呢
373000	375000	三分之二还得多呢
375000	377000	有一个手机品号嘞
377000	379000	这老多样子都老些年了
379000	381000	都他洗了
381000	383000	那你开始洗那个大风光了
383000	385000	大入风
385000	387000	还有那个进屋
387000	389000	都开始洗了
389000	391000	都白洗它了
391000	393000	没有
395000	397000	我看哪个没啥躲
397000	399000	你买点洗几个
399000	401000	我洗几个
409000	411000	这些新来的
411000	413000	倒的这些东西
413000	415000	都卤里边了
415000	417000	都卤在里边了
417000	419000	因为我
419000	421000	我挤不出去
421000	423000	我天天在这买货我也挤不出去
423000	425000	我都烧到里头
426000	428000	没用过扫把的呀
428000	430000	你现在用这个手印吗
430000	432000	手印
432000	434000	我一直都用这个手印
434000	436000	我指的就是手签
436000	438000	你也是用这个手吧
438000	440000	你有信用银行银行卡是吧
440000	441000	怪不得的
441000	443000	你那个直接签到你
443000	445000	那个信用银行银行卡里边
445000	447000	用就用这个手
447000	449000	哪信啊
449000	451000	他这个免手续费的不是
451000	453000	手续费的现在
453000	455000	手续费多少
455000	457000	好像你里边存一万块钱
457000	459000	他都不收
459000	461000	你这又出去卡里边
461000	463000	要存一万
463000	465000	反正他现在收了
465000	467000	原来不收
471000	473000	半年没收
473000	475000	没招他
477000	479000	要是一万块钱是三个点
479000	481000	不到
481000	483000	就是说你那十万块钱
483000	485000	就是二百多块钱
485000	487000	二百多块钱
487000	489000	二十多块钱
489000	491000	十万
491000	493000	十万不是二百多
495000	497000	那个
497000	499000	他本身
499000	501000	他这个信用银行这一块
501000	503000	但是他这个手续费也缺失
503000	505000	那个
505000	507000	尤类是
507000	509000	明天十晚来
509000	511000	他们也跑了
511000	513000	他们也撑不了了
513000	515000	我看那个
515000	517000	我手上基本的帽带
517000	519000	我这一收下
519000	521000	那不就把那信用卡的钱都刷出来了
521000	523000	你还没有手续费
523000	525000	还不用上下铺子养傻仙
527000	529000	便宜
529000	531000	我就是用这个方便
531000	533000	我老婆用微信
533000	535000	有时候一销又不销
535000	537000	她不知道收没收那个钱
537000	539000	这个行不
539000	541000	这个行啊
541000	543000	手机呢就手机
543000	545000	他跑不了啊
545000	547000	你也不知道他收是没收
557000	559000	我看人家那几个地
559000	561000	这些破自己的
561000	563000	五六个
575000	577000	这两个呢
577000	579000	都给他送过去吗
579000	581000	送回去吧
581000	583000	我都是中午吃个中午饭送
583000	585000	咱们
585000	587000	那个妹上那个年
587000	589000	他得回家给他妈送饭去
589000	591000	正好走到家门口
591000	593000	上午半夜十多号
593000	595000	中午冷了回家给他妈送饭去
595000	597000	一天多的
597000	599000	那能不能是生意上呀
599000	601000	还行吧
601000	603000	咱一天比一天强
603000	605000	现在游泳池还没活
605000	607000	游泳池还没活
607000	609000	但是那住了没得
609000	611000	对
611000	613000	得到过了年
613000	615000	过了年
615000	617000	暖气都不给他开
617000	619000	不开啊
619000	621000	今年不给他开
621000	623000	你不开暖气那肯定住的人少
623000	625000	他以为他不够
625000	627000	没给他接
627000	629000	人太少了
